scientific_name,summary,primary_label,common_name,local_image_path,order,family,genus,conservation_status
Alopochen aegyptiaca,"The Egyptian goose is an African member of the Anatidae family including ducks, geese, and swans. Because of their popularity chiefly as an ornamental bird, the species has also been introduced to Europe, the United States and elsewhere outside their natural range. Egyptian geese were regularly represented in ancient Egyptian art.",egygoo,Egyptian Goose,bird_images\egygoo.jpg,Anseriformes,Anatidae,Alopochen,Least Concern
Merops apiaster,"The European bee-eater is a bird species in the bee-eater family, Meropidae. It breeds in southern and central Europe, northern and southern Africa, and western Asia. Except for the resident southern African population, the species is strongly migratory, wintering in tropical Africa. This species occurs as a spring overshoot north of its usual range, with occasional breeding in northern Europe.",eubeat1,European Bee-eater,bird_images\eubeat1.jpg,Coraciiformes,Meropidae,Merops,Least Concern
Cinnyris mediocris,The eastern double-collared sunbird is a species of bird in the family Nectariniidae. It is found in upland areas of Kenya and northern Tanzania.,edcsun3,Eastern Double-collared Sunbird,bird_images\edcsun3.jpg,Passeriformes,Nectariniidae,Cinnyris,Least Concern
Corvus rhipidurus,The fan-tailed raven is a passerine bird of the crow family native to Eastern Africa and the Arabian Peninsula.,fatrav1,Fan-tailed Raven,bird_images\fatrav1.jpg,Passeriformes,Corvidae,Corvus,Least Concern
Agapornis fischeri,Fischer's lovebird is a small parrot species of the genus Agapornis. They were originally discovered in the late 19th century. They are named after the 19th century German explorer of East Africa Gustav Fischer.,fislov1,Fischer's Lovebird,bird_images\fislov1.jpg,Psittaciformes,Psittaculidae,Agapornis,Near Threatened
Dicrurus adsimilis,"The fork-tailed drongo, also called the common drongo or African drongo, is a small bird found from the Sahel to South Africa that lives in wooded habitats, particularly woodlands and savannas. It is part of the family Dicruridae and has four recognized subspecies, D. a adsimilis, D. a. apivorus, D. a. fugax and D. a. jubaensis. Like other drongos, the fork-tailed is mostly insectivorous; its diet mainly consists of butterflies, termites, and grasshoppers.",fotdro5,Fork-tailed Drongo,bird_images\fotdro5.jpg,Passeriformes,Dicruridae,Dicrurus,Least Concern
Micronisus gabar,The gabar goshawk is a small species of African and Arabian bird of prey in the family Accipitridae.,gabgos2,Gabar Goshawk,bird_images\gabgos2.jpg,Accipitriformes,Accipitrinae,Micronisus,Least Concern
Spatula querquedula,"The garganey is a small dabbling duck. It breeds in much of Europe and across the Palearctic, but is strictly migratory, with the entire population moving to Africa, India, Bangladesh and Australasia during the winter of the Northern hemisphere, where large flocks can occur. This species was first described by Carl Linnaeus in his landmark 1758 10th edition of Systema Naturae. Like other small ducks such as the Eurasian teal, this species rises easily from the water with a fast twisting wader-like flight.",gargan,Garganey,bird_images\gargan.jpg,Anseriformes,Anatidae,Spatula,Least Concern
Lamprotornis chalybaeus,"The greater blue-eared starling or greater blue-eared glossy-starling is a bird that breeds from Senegal east to Ethiopia and south through eastern Africa to northeastern South Africa and Angola. It is a very common species of open woodland bird, and undertakes some seasonal migration.",gbesta1,Greater Blue-eared Starling,bird_images\gbesta1.jpg,Passeriformes,Sturnidae,Lamprotornis,Least Concern
Cyanomitra verticalis,"The green-headed sunbird is a species of bird in the family Nectariniidae.
It is found in Angola, Benin, Burkina Faso, Burundi, Cameroon, Central African Republic, Republic of the Congo, Democratic Republic of the Congo, Ivory Coast, Equatorial Guinea, Gabon, Gambia, Ghana, Guinea, Guinea-Bissau, Kenya, Liberia, Malawi, Mali, Nigeria, Rwanda, Senegal, Sierra Leone, South Sudan, Tanzania, Togo, Uganda, and Zambia.",gnhsun1,Green-headed Sunbird,bird_images\gnhsun1.jpg,Passeriformes,Nectariniidae,Cyanomitra,Least Concern
Camaroptera brevicaudata,The grey-backed camaroptera is a small bird in the family Cisticolidae. This bird is a resident breeder in Africa south of the Sahara Desert. Recent studies suggest this species and the green-backed camaroptera may be the same species.,gnbcam2,Gray-backed Camaroptera,bird_images\gnbcam2.jpg,Passeriformes,Cisticolidae,Camaroptera,Unknown
Ploceus jacksoni,"The Golden-Backed Weaver, also known as Jackson's weaver, is a species of bird in the family Ploceidae. This family of birds are called weavers, because they commonly weave their nests from grasses, stems, and other plant materials. Their nests are hung off of trees, or other tall places. More specifically, the Golden-backed Weavers nests are woven to look like tear-drops. These birds have bright coloring, but are often confused with other birds, and are found in various parts of Africa and Asia.",gobwea1,Golden-backed Weaver,bird_images\gobwea1.jpg,Passeriformes,Ploceidae,Ploceus,Least Concern
Emberiza flaviventris,"The golden-breasted bunting is a passerine bird in the bunting family Emberizidae. It occurs in dry open woodlands and moist savanna in Africa south of the Sahara, but is absent from the equatorial forest belt.",gobbun1,Golden-breasted Bunting,bird_images\gobbun1.jpg,Passeriformes,Emberizidae,Emberiza,Least Concern
Camaroptera brachyura,"The green-backed camaroptera, also known as the bleating camaroptera, is a small bird in the family Cisticolidae. This bird is a resident breeder in Africa south of the Sahara Desert. Recent studies suggest this species and the grey-backed camaroptera may be the same species.",grbcam1,Green-backed Camaroptera,bird_images\grbcam1.jpg,Passeriformes,Cisticolidae,Camaroptera,Least Concern
Phalacrocorax carbo,"The great cormorant, also known as just cormorant in Britain, as black shag or kawau in New Zealand, formerly also known as the great black cormorant across the Northern Hemisphere, the black cormorant in Australia, and the large cormorant in India, is a widespread member of the cormorant family of seabirds. It breeds in much of the Old World, Australasia, and the Atlantic coast of North America.",grecor,Great Cormorant,bird_images\grecor.jpg,Suliformes,Phalacrocoracidae,Phalacrocorax,Least Concern
Ardea alba,"The great egret, also known as the common egret, large egret, great white egret, or great white heron, is a large, widely distributed egret. The four subspecies are found in Asia, Africa, the Americas, and southern Europe. Recently, it has also been spreading to more northern areas of Europe. Distributed across most of the tropical and warmer temperate regions of the world, it builds tree nests in colonies close to water.",greegr,Great Egret,bird_images\greegr.png,Pelecaniformes,Ardeidae,Ardea,Least Concern
Phoeniculus purpureus,"The green wood hoopoe is a large, up to 44 cm (17 in) long tropical bird native to Africa. It is a member of the family Phoeniculidae, the wood hoopoes, and was formerly known as the red-billed wood hoopoe.",grewoo2,Green Woodhoopoe,bird_images\grewoo2.jpg,Bucerotiformes,Phoeniculidae,Phoeniculus,Least Concern
Pytilia melba,"The green-winged pytilia is a small colourful seed-eating bird in the family Estrildidae. It is widespread throughout Sub-Saharan Africa, though it is more rarely seen in central, far southern and coastal western parts of the continent.",grwpyt1,Green-winged Pytilia,bird_images\grwpyt1.jpg,Passeriformes,Estrildidae,Pytilia,Least Concern
Calamonastes simplex,"The grey wren-warbler is a species of bird in the family Cisticolidae.
It is found in Angola, Burundi, Democratic Republic of the Congo, Ethiopia, Kenya, Malawi, Rwanda, Somalia, South Sudan, Tanzania, Uganda, and Zambia.
Its natural habitat is dry savanna.",grywrw1,Gray Wren-Warbler,bird_images\grywrw1.jpg,Passeriformes,Cisticolidae,Calamonastes,Least Concern
Lanius excubitoroides,"The grey-backed fiscal is a species of bird in the family Laniidae.
It is found in Burundi, Cameroon, Central African Republic, Chad, Democratic Republic of the Congo, Ethiopia, Kenya, Mali, Mauritania, Nigeria, Rwanda, Sudan, Tanzania, and Uganda. Its natural habitats are dry savanna and subtropical or tropical dry lowland grassland.",gybfis1,Gray-backed Fiscal,bird_images\gybfis1.jpg,Passeriformes,Laniidae,Lanius,Least Concern
Malaconotus blanchoti,"The grey-headed bushshrike, colloquially known as the ghostbird, is a species of passerine bird in the family Malaconotidae. It is widespread throughout sub-Saharan Africa, although relatively absent in Central Africa and the interior of southern Africa. It is the most widespread species of its genus, which consists of large bushshrikes with massive bills and mournful hooting calls. It occurs sparsely in a range of wooded habitats, though typically in denser vegetation within dry or moist savannah. The monogamous pairs occupy woodland with sufficient cover. They are sedentary, but will undertake limited post-breeding movements.",gyhbus1,Gray-headed Bushshrike,bird_images\gyhbus1.jpg,Passeriformes,Malaconotidae,Malaconotus,Least Concern
Eminia lepida,"The grey-capped warbler is a species of bird in the family Cisticolidae. It is monotypic in the genus Eminia. The grey-capped warbler is found in Burundi, Democratic Republic of the Congo, Kenya, Rwanda, South Sudan, Tanzania, and Uganda. It is a large, chunky, thin-tailed-warbler with a distinctive grey cap, a black band around its head, and a chestnut throat wrapping its neck. Grey-capped warblers maintain a diet of insects and other invertebrates, including caterpillars, moths, grasshoppers, and mantids.",gycwar3,Gray-capped Warbler,bird_images\gycwar3.jpg,Passeriformes,Cisticolidae,Eminia,Least Concern
Halcyon leucocephala,"The grey-headed kingfisher is a species of bird in the kingfisher family, Alcedinidae. It is found across large parts of Africa and southern Arabia, from Mauritania through Senegal and the Gambia, east to Ethiopia, Somalia, Yemen, Oman and Saudi Arabia, and south all the way through to South Africa. It is also found in islands off the African coast such as the Cape Verde islands and Zanzibar.",gyhkin1,Gray-headed Kingfisher,bird_images\gyhkin1.jpg,Coraciiformes,Halcyoninae,Halcyon,Least Concern
Nigrita canicapillus,"The grey-headed nigrita is a common species of estrildid finch found in Africa. It has an estimated global extent of occurrence of 3,700,000 km2.",gyhneg1,Gray-headed Nigrita,bird_images\gyhneg1.jpg,Passeriformes,Estrildidae,Nigrita,Least Concern
Passer griseus,"The northern grey-headed sparrow, also known as the grey-headed sparrow, is a species of bird in the sparrow family Passeridae, which is resident in much of tropical Africa. It occurs in a wide range of open habitats, including open woodlands and human habitation, often occupying the same niche as the house sparrow does in Eurasia.",gyhspa1,Northern Gray-headed Sparrow,bird_images\gyhspa1.jpg,Passeriformes,Passeridae,Passer,Least Concern
Gymnobucco bonapartei,"The grey-throated barbet is a species of bird in the Lybiidae family .
It is found in Angola, Cameroon, Central African Republic, Republic of the Congo, Democratic Republic of the Congo, Equatorial Guinea, Gabon, Kenya, Rwanda, South Sudan, Tanzania, and Uganda.",gytbar1,Gray-throated Barbet,bird_images\gytbar1.jpg,Piciformes,Lybiidae,Gymnobucco,Least Concern
Bostrychia hagedash,"The hadada ibis or hadeda is an ibis native to Sub-Saharan Africa. It is named for its loud three to four note calls uttered in flight especially in the mornings and evenings when they fly out or return to their roost trees. Although not as dependent on water as some ibises, they are found near wetlands and often live in close proximity to humans, foraging in cultivated land and gardens. A medium-sized ibis with stout legs and a typical down-curved bill, the wing coverts are iridescent with a green or purple sheen. They are non-migratory but are known to make nomadic movements in response to rain particularly during droughts. Their ranges in southern Africa have increased with an increase in tree cover and irrigation in human-altered habitats.",hadibi1,Hadada Ibis,bird_images\hadibi1.jpg,Pelecaniformes,Threskiornithidae,Bostrychia,Least Concern
Scopus umbretta,"The hamerkop, also called the umbrette, is a medium-sized bird. It is the only living species in the genus Scopus and the family Scopidae. The species and family was long thought to sit with the Ciconiiformes but is now placed with the Pelecaniformes, and its closest relatives are thought to be the pelicans and the shoebill. The shape of its head with a long bill and crest at the back is reminiscent of a hammer, which has given this species its name after the Afrikaans word for hammerhead. It is a medium-sized waterbird with brown plumage. It is found in mainland Africa, Madagascar and Arabia, living in a wide variety of wetlands, including estuaries, lakesides, fish ponds, riverbanks, and rocky coasts. The hamerkop is a sedentary bird that often shows local movements.",hamerk1,Hamerkop,bird_images\hamerk1.jpg,Pelecaniformes,Scopidae,Scopus,Least Concern
Tauraco hartlaubi,"Hartlaub's turaco is a species of bird in the family Musophagidae. It is found in Kenya, Tanzania, and Uganda.",hartur1,Hartlaub's Turaco,bird_images\hartur1.jpg,Musophagiformes,Musophagidae,Tauraco,Least Concern
Upupa epops,"The Eurasian hoopoe or common hoopoe is the most widespread species of the genus Upupa. It is a distinctive cinnamon coloured bird with black and white wings, a tall erectile crest, a broad white band across a black tail, and a long narrow downcurved bill. Its call is a soft ""oop-oop-oop"".",hoopoe,Eurasian Hoopoe,bird_images\hoopoe.jpg,Bucerotiformes,Upupidae,Upupa,Least Concern
Numida meleagris,"The helmeted guinea fowl is the best known of the guinea fowl bird family, Numididae, and the only member of the genus Numida. It is native to Africa, mainly south of the Sahara, and has been widely introduced, as a domesticated species, into the West Indies, North America, Colombia, Brazil, Australia and Europe.",helgui,Helmeted Guineafowl,bird_images\helgui.jpg,Galliformes,Numididae,Numida,Least Concern
Cisticola hunteri,"Hunter's cisticola is a species of bird in the family Cisticolidae.
It is found in Kenya, Tanzania, and Uganda.
Its natural habitats are tropical moist montane and high-elevation shrubland. It is a dueting species.",huncis1,Hunter's Cisticola,bird_images\huncis1.jpg,Passeriformes,Cisticolidae,Cisticola,Least Concern
Chalcomitra hunteri,"Hunter's sunbird is a species of bird in the family Nectariniidae. It is found in Ethiopia, Kenya, Somalia, South Sudan, Tanzania, and Uganda.",hunsun2,Hunter's Sunbird,bird_images\hunsun2.jpg,Passeriformes,Nectariniidae,Chalcomitra,Least Concern
Chlorocichla laetissima,"The joyful greenbul or joyful bulbul, is a species of songbird in the bulbul family, Pycnonotidae. It is found in east-central Africa. Its natural habitats are boreal forests and subtropical or tropical moist montane forests.",joygre1,Joyful Greenbul,bird_images\joygre1.jpg,Passeriformes,Pycnonotidae,Chlorocichla,Least Concern
Anthreptes orientalis,"The eastern violet-backed sunbird, also known as the Kenya violet-backed sunbird, is a species of bird in the family Nectariniidae.
It is found in arid savanna of East Africa, ranging from Djibouti in north to Tanzania in south. It is part of the violet-backed sunbird superspecies.",kvbsun1,Eastern Violet-backed Sunbird,bird_images\kvbsun1.jpg,Passeriformes,Nectariniidae,Anthreptes,Least Concern
Chrysococcyx klaas,"Klaas's cuckoo is a species of cuckoo in the family Cuculidae which is native to the wooded regions of sub-Saharan Africa. The specific name honours Klaas, the Khoikhoi man who collected the type specimen.",klacuc1,Klaas's Cuckoo,bird_images\klacuc1.jpg,Cuculiformes,Cuculidae,Chrysococcyx,Least Concern
Passer rufocinctus,"The Kenya sparrow, also known as the Kenya rufous sparrow, is a sparrow found in Kenya and Tanzania. It tends to be found in dry wooded savannah and agricultural areas. Some authorities have lumped the great sparrow (P. motitensis), the Kenya sparrow, and the Socotra sparrow (P. insularis) into P. motitensis following Dowsett and Forbes-Watson (1993). Some authorities also lump Shelley's sparrow and the Kordofan sparrow with this species, or all three with the great sparrow.",kerspa2,Kenya Rufous Sparrow,bird_images\kerspa2.jpg,Passeriformes,Passeridae,Passer,Least Concern
Streptopelia senegalensis,"The laughing dove is a small pigeon that is a resident breeder in Africa, the Middle East, South Asia, and Western Australia where it has established itself in the wild after being released from Perth Zoo in 1898. This small long-tailed dove is found in dry scrub and semi-desert habitats where pairs can often be seen feeding on the ground. It is closely related to the spotted dove which is distinguished by a white and black chequered necklace. Other names include laughing turtle dove, palm dove and Senegal dove while in Asia the name little brown dove is often used.",laudov1,Laughing Dove,bird_images\laudov1.jpg,Columbiformes,Columbidae,Spilopelia,Least Concern
Spinus lawrencei,Lawrence's goldfinch is a small songbird of erratic distribution that breeds in California and Baja California and winters in the southwestern United States and northern Mexico.,lawgol,Lawrence's Goldfinch,bird_images\lawgol.jpg,Passeriformes,Carduelinae,Spinus,Least Concern
Ploceus intermedius,"The lesser masked weaver is a species of bird in the family Ploceidae. It builds its nests in large colonies, often alongside the village weaver and sometimes the red-billed buffalo weaver. This species is commonly parasitised by the Diederik cuckoo. It is found in eastern, south-eastern and southern Africa.",lesmaw1,Lesser Masked-Weaver,bird_images\lesmaw1.jpg,Passeriformes,Ploceidae,Ploceus,Least Concern
Cecropis abyssinica,The lesser striped swallow is a large swallow. It breeds in Sub-Saharan Africa from Sierra Leone and southern Sudan south into eastern South Africa. It is partially migratory with South African birds wintering further north. West African birds leave the north of the breeding range in the dry season.,lessts1,Lesser Striped Swallow,bird_images\lessts1.jpg,Passeriformes,Hirundinidae,Cecropis,Least Concern
Merops pusillus,"The little bee-eater is a bird species in the bee-eater family, Meropidae. They are found in Sub-Saharan Africa. They should not be confused with the little green bee-eater. Migration is limited to seasonal movements depending on rainfall patterns.",libeat1,Little Bee-eater,bird_images\libeat1.jpg,Coraciiformes,Meropidae,Merops,Least Concern
Egretta garzetta,"The little egret is a species of small heron in the family Ardeidae. It is a white bird with a slender black beak, long black legs and, in the western race, yellow feet. As an aquatic bird, it feeds in shallow water and on land, consuming a variety of small creatures. It breeds colonially, often with other species of water birds, making a platform nest of sticks in a tree, bush or reed bed. A clutch of three to five bluish-green eggs is laid and incubated by both parents for about three weeks. The young fledge at about six weeks of age.",litegr,Little Egret,bird_images\litegr.jpg,Pelecaniformes,Ardeidae,Egretta,Least Concern
Apus affinis,"The little swift is a small species of swift found in Africa and southwestern Asia, and are vagrants and local breeders in southern Europe. They are found both in urban areas and at rocky cliffs where they build nests in a way typical of all members of the order Apodiformes. The genus name Apus is Latin for a swift, thought by the ancients to be a type of swallow without feet. The Latin specific affinis means similar to or related to, but in this case the species that the little swift supposedly resembles is not clear from the description. A population formerly considered to be an eastern subspecies of little swift is now separated as a distinct species, the house swift.",litswi1,Little Swift,bird_images\litswi1.jpg,Apodiformes,Apodidae,Apus,Least Concern
Merops superciliosus,"The olive bee-eater or Madagascar bee-eater is a bee-eater species in the genus Merops. It is native to the southern half of Africa where it is present in Angola; Botswana; Burundi; Comoros; Democratic Republic of the Congo; Djibouti; Eritrea; Ethiopia; Kenya; Madagascar; Malawi; Mayotte; Mozambique; Namibia; Rwanda; Somalia; South Sudan; Sudan; Tanzania; Uganda; Zambia; Zimbabwe. It is a common species with a wide range so the International Union for Conservation of Nature has rated their conservation status as ""least concern"".",mabeat1,Madagascar Bee-eater,bird_images\mabeat1.jpg,Coraciiformes,Meropidae,Merops,Least Concern
Corythornis cristatus,The malachite kingfisher is a river kingfisher which is widely distributed in Africa south of the Sahara. It is largely resident except for seasonal climate-related movements.,malkin1,Malachite Kingfisher,bird_images\malkin1.jpg,Coraciiformes,Alcedininae,Corythornis,Least Concern
Laniarius luehderi,"Lühder's bushshrike is a species of bird in the family Malaconotidae. It is found in Angola, Burundi, Cameroon, Republic of the Congo, Democratic Republic of the Congo, Equatorial Guinea, Gabon, Kenya, Nigeria, Rwanda, South Sudan, Tanzania, and Uganda. The common name and Latin binomial commemorate the German naturalist ornithologist W. Lühder.",luebus1,Lühder's Bushshrike,bird_images\luebus1.jpg,Passeriformes,Malaconotidae,Laniarius,Least Concern
Lanius mackinnoni,"Mackinnon's shrike, also called Mackinnon's fiscal, is a songbird species of the family Laniidae. Its natural habitats are subtropical or tropical moist montane forests and moist savanna. It is not considered a threatened species by the IUCN.The population of this species is increasing, which is thought to be due to the degradation of nearby habitat. Its common name and Latin binomial commemorate Archibald Donald MacKinnon.",macshr1,Mackinnon's Shrike,bird_images\macshr1.jpg,Passeriformes,Laniidae,Lanius,Least Concern
Cinnyris mariquensis,"The Marico sunbird is a species of bird in the family Nectariniidae, which is native to woodlands of the eastern and southern Afrotropics.The bird is typically found in the southeast of the continent of Africa. It is of least concern on the IUCN Red List and has an unknown population size that has yet to be quantified. The Marico sunbird has conservation regions located all over its range, so it is unlikely to go extinct.",marsun2,Mariqua Sunbird,bird_images\marsun2.jpg,Passeriformes,Nectariniidae,Cinnyris,Least Concern
Anthoscopus musculus,"The mouse-coloured penduline tit or mouse-colored penduline tit is a species of bird in the family Remizidae. At 8 cm (3.1 in) in length, it is one of the two shortest birds native to Africa, alongside the tit hylia.",mcptit1,Mouse-colored Penduline-Tit,bird_images\mcptit1.jpeg,Passeriformes,Remizidae,Anthoscopus,Least Concern
Thamnolaea cinnamomeiventris,"The mocking cliff chat, mocking chat or cliff chat, is a species of chat in the family Muscicapidae which occurs in rocky habitats in much of eastern Sub-Saharan Africa. It is the only species placed in the genus Thamnolaea.",moccha1,Mocking Cliff-Chat,bird_images\moccha1.jpg,Passeriformes,Muscicapidae,Thamnolaea,Least Concern
Motacilla clara,"The mountain wagtail, also known as the long-tailed wagtail or grey-backed wagtail, is a species of wagtail of the family Motacillidae from sub-Saharan Africa.",mouwag1,Mountain Wagtail,bird_images\mouwag1.jpg,Passeriformes,Motacillidae,Motacilla,Least Concern
Cinnyris reichenowi,"The northern double-collared sunbird, is a species of bird in the family Nectariniidae. It is found in Burundi, Cameroon, Central African Republic, Democratic Republic of the Congo, Equatorial Guinea, Kenya, Nigeria, Rwanda, South Sudan, and Uganda.",ndcsun2,Northern Double-collared Sunbird,bird_images\ndcsun2.jpg,Passeriformes,Nectariniidae,Cinnyris,Least Concern
Phyllastrephus strepitans,"The northern brownbul is a species of songbird in the bulbul family, Pycnonotidae.
It is found in eastern Africa.
Its natural habitats are subtropical or tropical dry forests, dry savanna, and subtropical or tropical dry shrubland.
The northern brownbul was originally described in the genus Criniger. Alternate names include the East African scrub bulbul and northern brown bulbul.",norbro1,Northern Brownbul,bird_images\norbro1.jpg,Passeriformes,Pycnonotidae,Phyllastrephus,Least Concern
Sylvietta brachyura,"The northern crombec is a species of African warbler, formerly placed in the family Sylviidae.
It is found in Benin, Burkina Faso, Cameroon, Central African Republic, Chad, Democratic Republic of the Congo, Ivory Coast, Djibouti, Eritrea, Ethiopia, Gambia, Ghana, Guinea, Guinea-Bissau, Kenya, Mali, Mauritania, Niger, Nigeria, Senegal, Sierra Leone, Somalia, Sudan, Tanzania, Togo, and Uganda.
Its natural habitat is dry savanna.",norcro1,Northern Crombec,bird_images\norcro1.jpg,Passeriformes,Macrosphenidae,Sylvietta,Least Concern
Dryoscopus gambensis,"The northern puffback is a species of bird in the family Malaconotidae.
It is found in northern sub-Saharan Africa. It forms a superspecies with the black-backed puffback, which replaces it in eastern equatorial and southern Africa.",norpuf1,Northern Puffback,bird_images\norpuf1.jpg,Passeriformes,Malaconotidae,Dryoscopus,Least Concern
Campethera nubica,"The Nubian woodpecker is a species of bird in the family Picidae. It is distributed widely in Central and Eastern Africa, from Chad in west to Somalia in east and Tanzania in south. It is a fairly common species with a wide range, the population seems stable, and the International Union for Conservation of Nature has rated its conservation status as being of ""least concern"".",nubwoo1,Nubian Woodpecker,bird_images\nubwoo1.jpg,Piciformes,Picidae,Campethera,Least Concern
Lanius humeralis,The northern fiscal is a member of the shrike family found through most of Sub-Saharan Africa. It used to be grouped with the southern fiscal. Together they were called the common fiscal. The fiscal gets its English and Afrikaans common names from its black and white 'suit-and-tie' appearance reminiscent of the taxman (‘fiscal’).,norfis1,Northern Fiscal,bird_images\norfis1.jpg,Passeriformes,Laniidae,Lanius,Unknown
Agricola pallidus,"The pale flycatcher is a passerine bird of the Old World flycatcher family Muscicapidae, native to Sub-Saharan Africa.",palfly2,Pale Flycatcher,bird_images\palfly2.jpg,Passeriformes,Muscicapidae,Agricola,Least Concern
Corvus albus,The pied crow is a widely distributed African bird species in the crow genus of the family Corvidae.,piecro1,Pied Crow,bird_images\piecro1.jpg,Passeriformes,Corvidae,Corvus,Least Concern
Prinia somalica,"The pale prinia is a species of bird in the family Cisticolidae.
It is found in Ethiopia, Kenya, Somalia, and South Sudan.
Its natural habitats are dry savanna and subtropical or tropical dry shrubland.",palpri1,Pale Prinia,bird_images\palpri1.jpg,Passeriformes,Cisticolidae,Prinia,Least Concern
Ceryle rudis,"The pied kingfisher is a species of water kingfisher widely distributed across Africa and Asia. Originally described by Carl Linnaeus in 1758, it has five recognised subspecies, and is the only member of the genus Ceryle. Its black and white plumage and crest, as well as its habit of hovering over clear lakes and rivers before diving for fish, make it distinctive. Males have a double band across the breast, while females have a single broken breast band. They are usually found in pairs or small family groups. When perched, they often bob their head and flick up their tail.",piekin1,Pied Kingfisher,bird_images\piekin1.jpg,Coraciiformes,Cerylinae,Ceryle,Least Concern
Vidua macroura,The pin-tailed whydah is a small songbird with a conspicuous pennant-like tail in breeding males. It is a resident breeding bird in most of Africa south of the Sahara Desert.,pitwhy,Pin-tailed Whydah,bird_images\pitwhy.jpg,Passeriformes,Viduidae,Vidua,Least Concern
Batis perkeo,"The pygmy batis is a very small insectivorous bird which finds its food foraging among leaves, it is a member of the wattle-eyes family, the Platysteiridae. It occurs in the dry savannahs of north-eastern Africa.",pygbat1,Pygmy Batis,bird_images\pygbat1.jpg,Passeriformes,Platysteiridae,Batis,Least Concern
Ortygospiza atricollis,"The black-faced quailfinch, is a common subspecies of estrildid finch found in western and central of Africa. Some taxonomists consider it to be conspecific with the African quailfinch, others consider all three species to be conspecific.",quailf1,Quailfinch,bird_images\quailf1.jpg,Passeriformes,Estrildidae,Ortygospiza,Least Concern
Cisticola chiniana,"The rattling cisticola is a species of bird in the family Cisticolidae which is native to Africa south of the equator, and parts of East Africa. It is a common to abundant species in open savanna and scrubland habitats, whether in arid, moist or upland regions. Especially during summer, it is highly conspicuous due to its strident and repetitive call-notes from prominent perches.",ratcis1,Rattling Cisticola,bird_images\ratcis1.jpg,Passeriformes,Cisticolidae,Cisticola,Least Concern
Trachyphonus erythrocephalus,"The red-and-yellow barbet is a species of African barbet found in eastern Africa. Males have distinctive black, red, and yellow plumage; females and juveniles are similar, but less brightly colored. The species lives in broken terrain and nests and roosts in burrows. Omnivorous, the species feeds on seeds, fruit, and invertebrates. Where not hunted, they are tame, but their feathers are used by certain tribes, such as the Maasai.",raybar1,Red-and-yellow Barbet,bird_images\raybar1.jpg,Piciformes,Lybiidae,Trachyphonus,Least Concern
Cercotrichas leucophrys,"The white-browed scrub robin, also known as the red-backed scrub-robin, is a species of bird in the family Muscicapidae. It is native to sub-Saharan Africa, especially East and southern Africa. Within range, its Turdus-like song is one of the often-heard sounds of the bush. The flitting of the tail is characteristic of this species, but also of some near relatives.",rbsrob1,Red-backed Scrub-Robin,bird_images\rbsrob1.jpg,Passeriformes,Muscicapidae,Cercotrichas,Least Concern
Lagonosticta senegala,"The red-billed firefinch or Senegal firefinch is a small seed-eating bird in the family Estrildidae. This is a resident breeding bird in most of Sub-Saharan Africa with an estimated global extent of occurrence of 10,000,000 km2. It was introduced to Egypt, but the population there has become extinct. It was also introduced to southern Algeria where it is currently expanding northward.",rebfir2,Red-billed Firefinch,bird_images\rebfir2.jpg,Passeriformes,Estrildidae,Lagonosticta,Least Concern
