scientific_name,summary,primary_label,common_name,local_image_path,order,family,genus,conservation_status
Buphagus erythrorynchus,"The red-billed oxpecker is a passerine bird in the oxpecker family, Buphagidae. It is native to the eastern savannah of sub-Saharan Africa, from the Central African Republic east to South Sudan and south to northern and eastern South Africa. It is more widespread than the yellow-billed oxpecker in Southern Africa, where their ranges overlap.",reboxp1,Red-billed Oxpecker,bird_images\reboxp1.jpg,Passeriformes,Buphagidae,Buphagus,Least Concern
Tockus erythrorhynchus,"The northern red-billed hornbill is a species of hornbill in the family Bucerotidae. It is found from southern Mauritania through Somalia and northeast Tanzania. There are five species of red-billed hornbills recognized, but all five were once considered conspecific and some authorities still classify the others as subspecies of Tockus erythrorhynchus.",rebhor1,Northern Red-billed Hornbill,bird_images\rebhor1.jpg,Bucerotiformes,Bucerotidae,Tockus,Least Concern
Uraeginthus bengalus,"The red-cheeked cordon-bleu or red-cheeked cordonbleu is a small passerine bird in the family Estrildidae. This estrildid finch is a resident breeding bird in drier regions of tropical Sub-Saharan Africa. Red-cheeked cordon-bleu has an estimated global extent of occurrence of 7,700,000 km2.",reccor,Red-cheeked Cordonbleu,bird_images\reccor.jpg,Passeriformes,Estrildidae,Uraeginthus,Least Concern
Cuculus solitarius,"The red-chested cuckoo is a species of cuckoo in the family Cuculidae. It is a medium-sized bird found in Africa, south of the Sahara. In Afrikaans, it is known as ""Piet-my-vrou"", after its call.",reccuc1,Red-chested Cuckoo,bird_images\reccuc1.jpg,Cuculiformes,Cuculidae,Cuculus,Least Concern
Streptopelia semitorquata,The red-eyed dove is a dove that is widespread and common in Sub-Saharan Africa. It has been listed as Least Concern on the IUCN Red List since 2004.,reedov1,Red-eyed Dove,bird_images\reedov1.jpg,Columbiformes,Columbidae,Streptopelia,Least Concern
Pogoniulus pusillus,"The southern red-fronted tinkerbird, is a small bird in the African barbet family Lybiidae. It is found in southern Mozambique and eastern South Africa. This species was formerly regarded as conspecific with the northern red-fronted tinkerbird.",reftin1,Red-fronted Tinkerbird,bird_images\reftin1.jpg,Piciformes,Lybiidae,Pogoniulus,Least Concern
Tricholaema diademata,"The red-fronted barbet is a species of bird in the Lybiidae family.
It is found in Ethiopia, Kenya, South Sudan, Tanzania, and Uganda.",refbar2,Red-fronted Barbet,bird_images\refbar2.jpg,Piciformes,Lybiidae,Tricholaema,Least Concern
Sylvietta whytii,"The red-faced crombec is a species of African warbler, formerly placed in the family Sylviidae.
It is found in Burundi, Ethiopia, Kenya, Malawi, Mozambique, Namibia, Rwanda, South Sudan, Tanzania, Uganda, and Zimbabwe.
Its natural habitats are subtropical or tropical dry forests, subtropical or tropical moist montane forests, and subtropical or tropical dry shrubland.",refcro1,Red-faced Crombec,bird_images\refcro1.jpg,Passeriformes,Macrosphenidae,Sylvietta,Least Concern
Cecropis daurica,"The eastern red-rumped swallow is a small passerine bird in the swallow family Hirundinidae. It is found in open, often hilly, areas with clearings and cultivation across Southeast Asia to north-eastern India and Taiwan.",rerswa1,Red-rumped Swallow,bird_images\rerswa1.jpg,Passeriformes,Hirundinidae,Cecropis,Least Concern
Crithagra reichenowi,Reichenow's seedeater is a species of finch in the family Fringillidae. It is sometimes considered conspecific with the black-throated canary.,reisee2,Reichenow's Seedeater,bird_images\reisee2.jpg,Passeriformes,Carduelinae,Crithagra,Least Concern
Onychognathus morio,"The red-winged starling is a bird of the starling family Sturnidae native to eastern and southern Africa from Ethiopia to South Africa. An omnivorous, generalist species, it prefers cliffs and mountainous areas for nesting, and has moved into cities and towns due to similarity to its original habitat.",rewsta1,Red-winged Starling,bird_images\rewsta1.jpg,Passeriformes,Sturnidae,Onychognathus,Least Concern
Streptopelia capicola,"The ring-necked dove, also known as the Cape turtle dove, half-collared dove, or the Cape Lager is a widespread and often abundant dove species in East and southern Africa. It is a mostly sedentary bird, found in a variety of open habitats. Within range, its penetrating and rhythmic, three-syllabled crooning is a familiar sound at any time of the year. Its name is derived from the semi-collar of black feathers on the lower nape, a feature shared with a number of Streptopelia species. Like all doves, they depend on surface water. They congregate in large flocks at waterholes in dry regions to drink and bathe.",rindov,Ring-necked Dove,bird_images\rindov.jpg,Columbiformes,Columbidae,Streptopelia,Least Concern
Ptyonoprogne fuligula,"The large rock martin, also known as the southern crag-martin, is a small passerine bird in the swallow family that is resident in southern Africa. It was formerly considered to be conspecific with the red-throated rock martin. It breeds mainly in the mountains, but also at lower altitudes, especially in rocky areas and around towns, and, unlike most swallows, it is often found far from water. It is 12–15 cm (4.7–5.9 in) long, with mainly brown plumage, paler-toned on the upper breast and underwing coverts, and with white ""windows"" on the spread tail in flight. The sexes are similar in appearance, but juveniles have pale fringes to the upperparts and flight feathers. The former northern subspecies are smaller, paler, and whiter-throated than southern African forms, and are now usually split as a separate species, the pale crag martin. The large rock martin hunts along cliff faces for flying insects using a slow flight with much gliding. Its call is a soft twitter.",rocmar2,Rock Martin,bird_images\rocmar2.jpg,Passeriformes,Hirundinidae,Ptyonoprogne,Least Concern
Musophaga rossae,"Ross's turaco or Lady Ross's turaco is a mainly bluish-purple African bird of the turaco family, Musophagidae.",rostur1,Ross's Turaco,bird_images\rostur1.jpg,Musophagiformes,Musophagidae,Tauraco,Least Concern
Lamprotornis purpuroptera,"Rüppell's starling, also known as Rueppell's glossy-starling or Rueppell's long-tailed starling, is a species of starling in the family Sturnidae. It is found in the African countries of Burundi, Chad, the Democratic Republic of the Congo, Eritrea, Ethiopia, Kenya, Rwanda, Somalia, South Sudan, Sudan, Tanzania, and Uganda.",ruegls1,Rüppell's Starling,bird_images\ruegls1.jpg,Passeriformes,Sturnidae,Lamprotornis,Least Concern
Threskiornis aethiopicus,"The African sacred ibis is a species of ibis, a wading bird of the family Threskiornithidae. It is native to much of Africa, as well as small parts of Iraq, Iran and Kuwait. It is especially known for its role in Ancient Egyptian religion, where it was linked to the god Thoth. The species is currently extirpated from Egypt.",sacibi2,African Sacred Ibis,bird_images\sacibi2.jpg,Pelecaniformes,Threskiornithidae,Threskiornis,Least Concern
Chalcomitra senegalensis,"The scarlet-chested sunbird is a species of bird in the family Nectariniidae. It is found in many areas of Sub-Saharan Africa, and from South Sudan to South Africa.",sccsun2,Scarlet-chested Sunbird,bird_images\sccsun2.jpg,Passeriformes,Nectariniidae,Chalcomitra,Least Concern
Cossypha niveicapilla,"The snowy-crowned robin-chat is a species of bird in the family Muscicapidae. It is also known as the snowy-headed robin-chat. 
Its disjunct range extends across the northern half of Sub-Saharan Africa .
Its natural habitats are subtropical or tropical dry forest, subtropical or tropical moist lowland forest, and moist savanna.",scrcha1,Snowy-crowned Robin-Chat,bird_images\scrcha1.jpg,Passeriformes,Muscicapidae,Cossypha,Least Concern
Lamprotornis shelleyi,"Shelley's starling is a species of starling in the family Sturnidae. It is found in East Africa, within the borders of Ethiopia, Kenya, Somalia, Somaliland, South Sudan, and Tanzania.",shesta1,Shelley's Starling,bird_images\shesta1.jpg,Passeriformes,Sturnidae,Lamprotornis,Least Concern
Indicator variegatus,"The scaly-throated honeyguide is a species of bird in the family Indicatoridae. They have a mutualistic relationship with humans in which they attract beekeepers towards bees' nests and then feeding on the remains, especially larvae.",scthon1,Scaly-throated Honeyguide,bird_images\scthon1.jpg,Piciformes,Indicatoridae,Indicator,Least Concern
Bycanistes brevis,"The silvery-cheeked hornbill is a large species of hornbill found in Africa. Silvery-cheeked hornbills are residents of the tall evergreen forests of East Africa from Ethiopia to South Africa. In Zimbabwe it is threatened by habitat destruction and its presence in South Africa is marginal, but it remains locally fairly common, especially in the northern and central parts of its range.",sichor1,Silvery-cheeked Hornbill,bird_images\sichor1.jpg,Bucerotiformes,Bucerotidae,Bycanistes,Least Concern
Laniarius funebris,"The slate-colored boubou or slate-coloured boubou is a species of bird in the family Malaconotidae. It is found in Ethiopia, Kenya, Rwanda, Somalia, South Sudan, Tanzania, and Uganda. Its natural habitats are subtropical or tropical dry forests, dry savanna, subtropical or tropical dry shrubland, and subtropical or tropical moist shrubland.",slcbou1,Slate-colored Boubou,bird_images\slcbou1.jpg,Passeriformes,Malaconotidae,Laniarius,Least Concern
Cisticola cantans,"The singing cisticola is a species of bird in the family Cisticolidae.
It is found in Benin, Burkina Faso, Burundi, Cameroon, Central African Republic, Chad, Democratic Republic of the Congo, Ivory Coast, Eritrea, Ethiopia, Gambia, Ghana, Guinea, Guinea-Bissau, Kenya, Liberia, Malawi, Mali, Mozambique, Niger, Nigeria, Rwanda, Senegal, Sierra Leone, Sudan, Tanzania, Togo, Uganda, Zambia, and Zimbabwe.
Its natural habitats are subtropical or tropical dry forest and subtropical or tropical dry shrubland.",sincis1,Singing Cisticola,bird_images\sincis1.jpg,Passeriformes,Cisticolidae,Cisticola,Least Concern
Caprimulgus clarus,"The slender-tailed nightjar is a species of nightjar in the family Caprimulgidae. It is found in parts of eastern and central Africa, including the Democratic Republic of the Congo, Ethiopia, Kenya, Somalia, South Sudan, Tanzania, and Uganda.",sltnig1,Slender-tailed Nightjar,bird_images\sltnig1.jpg,Caprimulgiformes,Caprimulgidae,Caprimulgus,Least Concern
Melaenornis pammelaina,"The southern black flycatcher is a small passerine bird of the genus Melaenornis in the flycatcher family, Muscicapidae, native to open and lightly wooded areas of eastern and southern Africa.",sobfly1,Southern Black-Flycatcher,bird_images\sobfly1.jpg,Passeriformes,Muscicapidae,Melaenornis,Least Concern
Andropadus importunus,"The sombre greenbul is a member of the bulbul family of passerine birds. It is a resident breeder in coastal bush, evergreen forest and dry shrub land in eastern and southern Africa. It is the only member of the genus Andropadus.",somgre1,Sombre Greenbul,bird_images\somgre1.jpg,Passeriformes,Pycnonotidae,Andropadus,Least Concern
Melaniparus thruppi,"The acacia tit, also known as the Somali tit and northern grey tit, is a species of bird in the family Paridae. It is native to north eastern Africa where it occurs in dry acacia habitat.",somtit4,Somali Tit,bird_images\somtit4.jpg,Passeriformes,Paridae,Melaniparus,Least Concern
Crithagra hyposticta,The southern citril also known as Serinus hyposticus is a species of finch in the Fringillidae family. It is endemic to the eastern Afromontane.,soucit1,Southern Citril,bird_images\soucit1.jpg,Passeriformes,Carduelinae,Crithagra,Least Concern
Lanius collaris,The southern fiscal or fiscal shrike is a member of the shrike family found through most of southern Africa. It is also sometimes named jackie hangman or butcher bird due to its habit of impaling its prey on acacia thorns to store the food for later consumption. It was previously lumped together with the northern fiscal. Together they were known as the common fiscal.,soufis1,Southern Fiscal,bird_images\soufis1.jpg,Passeriformes,Laniidae,Lanius,Least Concern
Colius striatus,"The speckled mousebird is the largest species of mousebird, as well as one of the most common. It is found throughout most of Central, Eastern and Southern Africa.",spemou2,Speckled Mousebird,bird_images\spemou2.jpg,Coliiformes,Coliidae,Colius,Least Concern
Columba guinea,"The speckled pigeon, also known as the African rock pigeon or Guinea pigeon, is a pigeon that is a resident breeding bird in much of Africa south of the Sahara. It is a common and widespread species in open habitats over much of its range, although there are sizable gaps in its distribution.",spepig1,Speckled Pigeon,bird_images\spepig1.jpg,Columbiformes,Columbidae,Columba,Least Concern
Ploceus ocularis,"The spectacled weaver is a species of bird in the family Ploceidae. It is found widely in woodland, forest edge and gardens of central, eastern and south-eastern Africa, but is absent from the most arid regions and dense, primary rainforest. This common species breeds in solitary pairs, and both sexes are bright yellow, have an olive-yellow back, black ""spectacles"" and pale eyes. The male has a black throat.",spewea1,Spectacled Weaver,bird_images\spewea1.jpg,Passeriformes,Ploceidae,Ploceus,Least Concern
Tricholaema lacrymosa,"The spot-flanked barbet is a species of bird in the family Lybiidae.
It is found in Burundi, Democratic Republic of the Congo, Kenya, Rwanda, South Sudan, Tanzania, Uganda, and Zambia.",spfbar1,Spot-flanked Barbet,bird_images\spfbar1.jpg,Piciformes,Lybiidae,Tricholaema,Least Concern
Sporopipes frontalis,"The speckle-fronted weaver is a species of bird in the family Ploceidae.
It is found in Africa from Mauritania and Gambia in the west to Ethiopia and Tanzania in the east.
Its natural habitat is dry savanna.",spfwea1,Speckle-fronted Weaver,bird_images\spfwea1.jpg,Passeriformes,Ploceidae,Sporopipes,Least Concern
Cichladusa guttata,"The spotted palm thrush, also known as the spotted morning-thrush, is a species of bird in the Muscicapidae family. They are small birds mostly consisting of the colors brown, black, and cream. They can be found in eastern African countries such as Ethiopia, Kenya, Somalia, Sudan, Tanzania, and Uganda. Their natural habitats are subtropical or tropical dry forests, dry savanna, and subtropical or tropical moist shrubland. This bird is a forager that has a diet consisting of invertebrates. These birds create a variety of different vocal duets as a form of communication.",spmthr1,Spotted Morning-Thrush,bird_images\spmthr1.jpg,Passeriformes,Muscicapidae,Cichladusa,Least Concern
Vanellus spinosus,"The spur-winged lapwing or spur-winged plover is a lapwing species, one of a group of largish waders in the family Charadriidae.",spwlap1,Spur-winged Lapwing,bird_images\spwlap1.jpg,Charadriiformes,Charadriidae,Vanellus,Least Concern
Ardeola ralloides,"The squacco heron is a small heron, 44–47 cm long, of which the body is 20–23 cm (8–9 in), with 80–92 cm wingspan. It is of Old World origins, breeding in southern Europe and the Greater Middle East.",squher1,Squacco Heron,bird_images\squher1.jpg,Pelecaniformes,Ardeidae,Ardeola,Least Concern
Butorides striata,"The striated heron also known as mangrove heron or little green heron, is a small heron, about 44 cm tall. It is mostly sedentary and noted for some interesting behavioural traits. The breeding habitat is in South America and the Caribbean. The striated heron was formerly considered to be conspecific with the little heron that is found in the Old World tropics from west Africa to Japan and Australia.",strher,Striated Heron,bird_images\strher.jpg,Pelecaniformes,Ardeidae,Butorides,Least Concern
Crithagra striolata,The streaky seedeater is a species of finch in the family Fringillidae. It is native to the eastern Afromontane.,strsee1,Streaky Seedeater,bird_images\strsee1.jpg,Passeriformes,Carduelinae,Crithagra,Least Concern
Telophorus sulfureopectus,"The orange-breasted bushshrike or sulphur-breasted bushshrike is a species of bird in the family Malaconotidae. Another bird, Braun's bushshrike, is also sometimes called the orange-breasted bushshrike.",subbus1,Sulphur-breasted Bushshrike,bird_images\subbus1.jpg,Passeriformes,Malaconotidae,Chlorophoneus,Least Concern
Lamprotornis superbus,The superb starling is a member of the starling family of birds. It was formerly known as Spreo superbus. They are long-lived birds that can live over 15 years in captivity.,supsta1,Superb Starling,bird_images\supsta1.jpg,Passeriformes,Sturnidae,Lamprotornis,Least Concern
Nectarinia tacazze,"The Tacazze sunbird is a species of bird in the family Nectariniidae.
It is native to the eastern Afromontane forests.",tacsun1,Tacazze Sunbird,bird_images\tacsun1.jpg,Passeriformes,Nectariniidae,Nectarinia,Least Concern
Prinia subflava,"The tawny-flanked prinia is a small passerine bird belonging to the genus Prinia in the family Cisticolidae, a family of Old World warblers. It is widespread and common in most parts of Africa south of the Sahara. The plain prinia of southern Asia was formerly included in this species but is now usually considered to be a separate species.",tafpri1,Tawny-flanked Prinia,bird_images\tafpri1.jpg,Passeriformes,Cisticolidae,Prinia,Least Concern
Turtur tympanistria,"The tambourine dove is a pigeon which is a widespread resident breeding bird in woodlands and other thick vegetation in Africa south of the Sahara Desert. Its range extends from Senegal east to Ethiopia and Kenya and southwards through eastern Africa to south-eastern South Africa, but it is absent from the drier areas of south-western Africa. There is a population on the Comoros Islands.",tamdov1,Tambourine Dove,bird_images\tamdov1.jpg,Columbiformes,Columbidae,Turtur,Least Concern
Luscinia luscinia,"The thrush nightingale, also known as the sprosser, is a small passerine bird in the Old World flycatcher family. It is a migratory species breeding in forests in Europe and the Palearctic and overwintering in Africa. An insectivore, it nests near the ground in dense undergrowth. Its distribution is more northerly than the very closely related common nightingale, which it closely resembles in appearance. Hybrids between the two have occurred in areas where their ranges overlap.",thrnig1,Thrush Nightingale,bird_images\thrnig1.jpg,Passeriformes,Muscicapidae,Luscinia,Least Concern
Laniarius major,"The tropical boubou or bell shrike is a medium-sized passerine bird of sub-Saharan Africa. This very diverse ""species"" with its numerous subspecies and morphs has since long posed a taxonomic problem, and recent research suggests it is a cryptic species complex that has now been split into several species.",trobou1,Tropical Boubou,bird_images\trobou1.jpg,Passeriformes,Malaconotidae,Laniarius,Least Concern
Cinnyris venustus,"The variable sunbird or yellow-bellied sunbird, formerly Nectarinia venusta, is a sunbird. The sunbirds are a group of small Old World passerine birds which feed largely on nectar, although they will also take insects, especially when feeding young. Flight is fast and direct on their short wings. Most species can take nectar by hovering like a hummingbird, but usually perch to feed most of the time.",varsun2,Variable Sunbird,bird_images\varsun2.jpg,Passeriformes,Nectariniidae,Cinnyris,Least Concern
Ploceus cucullatus,"The village weaver , also known as the spotted-backed weaver or black-headed weaver, is a bird species in the family Ploceidae found in much of sub-Saharan Africa. It has also been introduced to Portugal and Venezuela as well as to the islands of Hispaniola, Martinique, Puerto Rico, Mauritius and Réunion.",vilwea1,Village Weaver,bird_images\vilwea1.jpg,Passeriformes,Ploceidae,Ploceus,Least Concern
Ploceus vitellinus,"The vitelline masked weaver is a species of bird in the family Ploceidae.
It is found in western, central, and eastern Africa.",vimwea1,Vitelline Masked-Weaver,bird_images\vimwea1.jpg,Passeriformes,Ploceidae,Ploceus,Least Concern
Corythaixoides leucogaster,"The white-bellied go-away-bird is a bird of eastern Africa in the family Musophagidae, commonly known as turacos.",wbgbir1,White-bellied Go-away-bird,bird_images\wbgbir1.jpg,Musophagiformes,Musophagidae,Crinifer,Least Concern
Cossypha heuglini,"The white-browed robin-chat, also known as Heuglin's robin, is a species of bird in the family Muscicapidae. Found in east, central and southern Africa, its natural habitats include riverine forest and thickets, and it is also found near humans. The IUCN classifies it as a least-concern species.",wbrcha2,White-browed Robin-Chat,bird_images\wbrcha2.jpg,Passeriformes,Muscicapidae,Cossypha,Least Concern
Plocepasser mahali,"The white-browed sparrow-weaver is a predominantly brown, sparrow-sized bird found throughout central and north-central southern Africa. It is found in groups of two to eleven individuals consisting of one breeding pair and other non-reproductive individuals.",wbswea1,White-browed Sparrow-Weaver,bird_images\wbswea1.jpg,Passeriformes,Ploceidae,Plocepasser,Least Concern
Merops bullockoides,The white-fronted bee-eater is a species of bee-eater widely distributed in sub-equatorial Africa.,wfbeat1,White-fronted Bee-eater,bird_images\wfbeat1.jpg,Coraciiformes,Meropidae,Merops,Least Concern
Crithagra dorsostriata,"The white-bellied canary is a species of finch in the family Fringillidae.
It is found in Ethiopia, Kenya, Somalia, South Sudan, Tanzania, and Uganda.
Its natural habitat is dry savanna.",whbcan1,White-bellied Canary,bird_images\whbcan1.jpg,Passeriformes,Carduelinae,Crithagra,Least Concern
Centropus superciliosus,"The white-browed coucal or lark-heeled cuckoo, is a species of cuckoo in the family Cuculidae. It is found in sub-Saharan Africa. It inhabits areas with thick cover afforded by rank undergrowth and scrub, including in suitable coastal regions. Burchell's coucal is sometimes considered a subspecies.",whbcou1,White-browed Coucal,bird_images\whbcou1.jpg,Cuculiformes,Cuculidae,Centropus,Least Concern
Melaniparus albiventris,"The white-bellied tit is a species of bird in the family Paridae.
It is found in Cameroon, Kenya, Nigeria, South Sudan, Tanzania, and Uganda.
Its natural habitats are subtropical or tropical dry forests and subtropical or tropical moist montane forests.",whbtit5,White-bellied Tit,bird_images\whbtit5.jpg,Passeriformes,Paridae,Melaniparus,Least Concern
Dinemellia dinemelli,"The white-headed buffalo weaver or white-faced buffalo-weaver is a species of passerine bird in the family Ploceidae native to East Africa. The buffalo part of its name derives from its habit of following the African buffalo, feeding on disturbed insects. Two subspecies are recognized.",whbwea1,White-headed Buffalo-Weaver,bird_images\whbwea1.jpg,Passeriformes,Ploceidae,Dinemellia,Least Concern
Zosterops flavilateralis,"The pale white-eye also known as Kenya white-eye is a bird species in the family Zosteropidae. It is found in Kenya, eastern Tanzania, southern Ethiopia and southern Somalia.",whbwhe3,Pale White-eye,bird_images\whbwhe3.jpeg,Passeriformes,Zosteropidae,Zosterops,Least Concern
Schistolais leucopogon,"The white-chinned prinia, also known as the white-chinned warbler, is a species of bird in the family Cisticolidae.",whcpri2,White-chinned Prinia,bird_images\whcpri2.jpg,Passeriformes,Cisticolidae,Schistolais,Least Concern
Melaenornis fischeri,The white-eyed slaty flycatcher is a small passerine bird of the genus Melaenornis in the Old World flycatcher family Muscicapidae. It is native to the African highlands from Ethiopia and Kenya through Rwanda to eastern Zaire and Malawi. The sub-species M. f. toruensis occurs in Rwanda and Burundi and has an inconspicuous eye-ring.,wheslf1,White-eyed Slaty-Flycatcher,bird_images\wheslf1.jpg,Passeriformes,Muscicapidae,Melaenornis,Least Concern
Psalidoprocne albiceps,"The white-headed saw-wing, also known as the white-headed rough-winged swallow is a species of bird in the family Hirundinidae. It is found in Angola, Burundi, Democratic Republic of the Congo, Ethiopia, Kenya, Malawi, Rwanda, South Sudan, Tanzania, Uganda, and Zambia.",whhsaw1,White-headed Sawwing,bird_images\whhsaw1.jpeg,Passeriformes,Hirundinidae,Psalidoprocne,Least Concern
Prionops plumatus,"The white-crested helmetshrike, also known as the white helmetshrike, is a species of passerine bird in the Vanga family Vangidae, formerly usually included in the Malaconotidae.",whihel1,White Helmetshrike,bird_images\whihel1.jpg,Passeriformes,Vangidae,Prionops,Least Concern
Eurocephalus ruppelli,"The northern white-crowned shrike or white-rumped shrike, is a shrike found in dry thornbush, semi-desert, and open acacia woodland in east Africa from south eastern South Sudan and southern Ethiopia to Tanzania. Its binomial name commemorates the German naturalist and explorer Eduard Rüppell.",whrshr1,White-rumped Shrike,bird_images\whrshr1.jpg,Passeriformes,Laniidae,Eurocephalus,Least Concern
Phylloscopus trochilus,"The willow warbler is a very common and widespread leaf warbler which breeds throughout northern and temperate Europe and the Palearctic, from Ireland east to the Anadyr River basin in eastern Siberia. It is strongly migratory, with almost all of the population wintering in sub-Saharan Africa.",wlwwar,Willow Warbler,bird_images\wlwwar.jpg,Passeriformes,Phylloscopidae,Phylloscopus,Least Concern
Halcyon senegalensis,The woodland kingfisher is a tree kingfisher that is widely distributed in Africa south of the Sahara.,wookin1,Woodland Kingfisher,bird_images\wookin1.jpg,Coraciiformes,Halcyoninae,Halcyon,Least Concern
Tringa glareola,"The wood sandpiper is a small wader belonging to the sandpiper family Scolopacidae. A Eurasian species, it is the smallest of the shanks, a genus of mid-sized, long-legged waders that largely inhabit freshwater and wetland environments, as opposed to the maritime or coastal habitats of other, similar species.",woosan,Wood Sandpiper,bird_images\woosan.jpg,Charadriiformes,Scolopacidae,Tringa,Least Concern
Merops albicollis,"The white-throated bee-eater is a species of bee-eater that breeds in semi-desert along the southern edge of the Sahara. The white-throated bee-eater is migratory, wintering in a completely different habitat in the equatorial rain forests of Africa from southern Senegal to Uganda.",wtbeat1,White-throated Bee-eater,bird_images\wtbeat1.jpg,Coraciiformes,Meropidae,Merops,Least Concern
Apalis flavida,The yellow-breasted apalis is a species of bird in the family Cisticolidae.,yebapa1,Yellow-breasted Apalis,bird_images\yebapa1.jpg,Passeriformes,Cisticolidae,Apalis,Least Concern
Anas undulata,"The yellow-billed duck is a 51–58 cm long dabbling duck which is an abundant resident breeder in southern and eastern Africa. This duck is not migratory, but wanders in the dry season to find suitable waters. It is highly gregarious outside the breeding season and forms large flocks.",yebduc1,Yellow-billed Duck,bird_images\yebduc1.jpg,Anseriformes,Anatidae,Anas,Least Concern
Trachyphonus purpuratus,The eastern yellow-billed barbet is a species of bird in the Lybiidae family. It was formerly considered to be conspecific with the western yellow-billed barbet.,yebbar1,Yellow-billed Barbet,bird_images\yebbar1.jpg,Piciformes,Lybiidae,Trachylaemus,Least Concern
Eremomela icteropygialis,"The yellow-bellied eremomela is an Old World warbler. However, the taxonomy of the ""African warblers"", an assemblage of usually species-poor and apparently rather ancient ""odd warblers"" from Africa is currently in a state of flux. Today, most taxonomists consider members in this genus members of the family Cisticolidae.",yebere1,Yellow-bellied Eremomela,bird_images\yebere1.jpg,Passeriformes,Cisticolidae,Eremomela,Least Concern
Chlorocichla flaviventris,"The yellow-bellied greenbul is a species of songbird in the bulbul family, Pycnonotidae. It is found in eastern, southern and west-central Africa. Its natural habitats are subtropical or tropical dry forests, subtropical or tropical moist lowland forests, and dry savanna.",yebgre1,Yellow-bellied Greenbul,bird_images\yebgre1.jpg,Passeriformes,Pycnonotidae,Chlorocichla,Least Concern
Serinus flavivertex,The yellow-crowned canary is a small passerine bird in the finch family. It is a resident breeder in eastern Africa. It was formerly considered conspecific with the Cape canary.,yeccan1,Yellow-crowned Canary,bird_images\yeccan1.jpg,Passeriformes,Carduelinae,Serinus,Least Concern
Crithagra mozambica,The yellow-fronted canary is a small passerine bird in the finch family. It is sometimes known in aviculture as the green singing finch or the green singer.,yefcan,Yellow-fronted Canary,bird_images\yefcan.jpg,Passeriformes,Carduelinae,Crithagra,Least Concern
Euplectes capensis,"The yellow bishop, also known as Cape bishop, Cape widow or yellow-rumped widow, is a resident breeding Afromontane bird species.",yelbis1,Yellow Bishop,bird_images\yelbis1.jpg,Passeriformes,Ploceidae,Euplectes,Least Concern
Pternistis leucoscepus,"The yellow-necked spurfowl or yellow-necked francolin is a species of bird in the family Phasianidae. It is found in Djibouti, Eritrea, Ethiopia, Kenya, Somalia, Sudan, Tanzania, and Uganda. This species is named for the yellow patch found on its neck. Males of this species have been noted to have spurs on the back of their legs.",yenspu1,Yellow-necked Francolin,bird_images\yenspu1.jpg,Galliformes,Phasianidae,Pternistis,Least Concern
Pogoniulus bilineatus,"The yellow-rumped tinkerbird is a bird species in the family Lybiidae, which is native to the moist tropical and subtropical regions of sub-Saharan Africa.",yertin1,Yellow-rumped Tinkerbird,bird_images\yertin1.jpg,Piciformes,Lybiidae,Pogoniulus,Least Concern
Buccanodon duchaillui,The yellow-spotted barbet is a bird species in the monotypic genus Buccanodon. It belongs to the African barbet family (Lybiidae) which was formerly included in the Capitonidae and sometimes in the Ramphastidae.,yesbar1,Yellow-spotted Barbet,bird_images\yesbar1.jpg,Piciformes,Lybiidae,Buccanodon,Least Concern
Gymnoris pyrgita,"The yellow-spotted bush sparrow or yellow-spotted petronia is a species of bird in the sparrow family, Passeridae.",yespet1,Yellow-spotted Bush Sparrow,bird_images\yespet1.jpg,Passeriformes,Passeridae,Gymnoris,Least Concern
Atimastillas flavicollis,"The yellow-gorgeted greenbul, formerly known as the yellow-throated leaflove, is a species of passerine bird in the bulbul family Pycnonotidae. It is found in West Africa. Its natural habitats are subtropical or tropical dry forests, moist savanna, and subtropical or tropical moist shrubland.",yetgre1,Yellow-throated Greenbul,bird_images\yetgre1.jpg,Passeriformes,Pycnonotidae,Atimastillas,Least Concern
Eurillas latirostris,The yellow-whiskered greenbul or yellow-whiskered bulbul is a species of the bulbul family of passerine birds. It is found in western and central Africa.,yewgre1,Yellow-whiskered Greenbul,bird_images\yewgre1.jpg,Passeriformes,Pycnonotidae,Eurillas,Least Concern
